title,intro,prep_time,cook_time,total_time,servings,ingredients,directions,nutrition
Easy Slow Cooker Boursin Chicken and Pasta,"This easy slow cooker Boursin chicken and pasta features boneless chicken breasts, spinach, and orzo pasta in a creamy tomato and Boursin sauce.",5 mins,2 hrs 35 mins,2 hrs 40 mins,6,"['1 1/2 pounds skinless, boneless chicken breast', '1 teaspoon kosher salt, plus more to taste', '1/2 teaspoon freshly ground black pepper, plus more to taste', '1 can Italian-style diced tomatoes', '2 cups chicken broth', '1 cup orzo pasta', '2 (5.2 ounce) packages garlic and herb flavored Gournay cheese (such as Boursin®)', '5 ounces baby spinach', '1 teaspoon lemon juice (optional)']","['Place chicken into a slow cooker; season with salt and pepper. Top with tomatoes and pour chicken broth around chicken. Cook on High for 2 hours or on Low for 4 hours.', 'Remove chicken from slow cooker and cut it into 1-inch pieces; return chicken to slow cooker. Stir in orzo and Boursin cheese. Cook on High until pasta is tender and liquid has been absorbed, 35 to 40 minutes.', 'Stir in spinach until wilted and season to taste with salt and pepper. Stir in lemon juice. Serve immediately.']","{'Calories': '448', 'Fat': '20g', 'Carbs': '15g', 'Protein': '49g'}"
One Pot Tuscan Shrimp and Orzo,"This one pot Tuscan shrimp and orzo is hearty yet elegant, every bite bursting with Tuscan-inspired flavors. It’s comfort food with a sophisticated twist, perfect for a special dinner or a cozy night in.",15 mins,25 mins,40 mins,6,"['2 shallots, thinly sliced', '4 cloves garlic, minced', '3 tablespoons butter', '1 1/2 cups orzo pasta', '1 tablespoon tomato paste', '2 teaspoons Cantanzaro herbs', 'salt and freshly ground black pepper to taste', '4 cups vegetable broth, divided', '3 1/2 fluid ounces heavy whipping cream', '10 ounces plain Greek yogurt', '1/2 cup chopped sundried tomatoes', '1 pound shrimp, peeled and deveined', '3 cups fresh spinach', 'fresh basil, for garnish']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Allrecipes / Karen Hibbard', 'Melt butter in a Dutch oven over medium heat. Add shallots, and cook until translucent, 3 to 5 minutes. Add garlic, and stir until fragrant, about 45 seconds.\n\n \n\n\n\n\n\n \n Allrecipes / Karen Hibbard', 'Add in orzo; cook and stir until orzo is lightly toasted, about 1 minute. Stir in tomato paste and Cantanzaro herbs; season with salt and pepper.\n\n \n\n\n\n\n\n \n Allrecipes / Karen Hibbard', 'Pour in 3 cups vegetable broth and whipping cream. Stir remaining 1 cup broth into Greek yogurt; pour into the Dutch oven. Stir in sundried tomatoes.\n\n \n\n\n\n\n\n \n Allrecipes / Karen Hibbard', 'Cook orzo, uncovered, stirring constantly, over medium heat until orzo is just tender with a bite, 15 to 20 minutes.\n\n \n\n\n\n\n\n \n Allrecipes / Karen Hibbard', 'Stir shrimp and fresh spinach into cooked orzo, and cook until shrimp is pink and opaque and spinach is wilted, about 4 minutes. Taste; season with salt and pepper.\n\n \n\n\n\n\n\n \n Allrecipes / Karen Hibbard', 'Remove from heat; serve immediately with fresh basil. Enjoy!\n\n \n\n\n\n\n\n \n Allrecipes / Karen Hibbard\n\n Cook’s Note\nCantanzaro herbs are a blend of garlic, lemon peel, marjoram, European basil, Mediterranean thyme, rosemary, and Greek oregano. I buy it from the Savory Spice Shop.']","{'Calories': '343', 'Fat': '13g', 'Carbs': '29g', 'Protein': '28g'}"
Crockpot Caesar Chicken Pasta,"I love a slow cooker pasta recipe and this crockpot Caesar chicken pasta is a hearty, creamy pasta dish that the whole family loves. Adding lemon zest really brightens up the dish!",15 mins,3 hrs,3 hrs 25 mins,6,"['2 pounds boneless, skinless chicken breasts', '1 teaspoon garlic powder', '2 teaspoons lemon zest', '1 (32-ounce carton) reduced-sodium chicken broth', '1 (16-ounce) bottle creamy Caesar salad dressing', '1 pound dried rotini pasta', '1 (8-ounce) package cream cheese, cubed and softened', '1/2 cup freshly grated Parmesan cheese, divided', '1/4 cup chopped fresh parsley', 'crushed red pepper, to taste (optional)', 'capers for topping, to taste (optional)', 'lemon wedges for serving (optional)']","['Gather all ingredients.\xa0\n\n \n\n\n\n\n\n \n Jason Donnelly / Food Styling: Holly Dreesman / Prop Styling: Natalie Ghazali', 'Lightly coat the bottom of a 5- to 6-quart slow cooker with nonstick cooking spray.\xa0 Place chicken breasts in a single layer in the slow cooker and sprinkle with garlic powder and lemon zest. Pour chicken broth and Caesar dressing over the chicken.\n\n \n\n\n\n\n\n \n Jason Donnelly / Food Styling: Holly Dreesman / Prop Styling: Natalie Ghazali', 'Cover and cook on Low for 5 hours or on High for 2 1/2 hours or until an instant read thermometer inserted into the center of the chicken registers 165 degrees F (74 degrees C).\xa0\n\n \n\n\n\n\n\n \n Jason Donnelly / Food Styling: Holly Dreesman / Prop Styling: Natalie Ghazali', 'Remove chicken from the slow cooker and allow to cool slightly on a cutting board before shredding or chopping into bite-sized pieces.\xa0\n\n \n\n\n\n\n\n \n Jason Donnelly / Food Styling: Holly Dreesman / Prop Styling: Natalie Ghazali', 'Meanwhile, stir the pasta into the dressing mixture in the slow cooker. Cover and cook on High 20 to 30 minutes more or until pasta is tender.\n\n \n\n\n\n\n\n \n Jason Donnelly / Food Styling: Holly Dreesman / Prop Styling: Natalie Ghazali', 'Stir in cream cheese and 1/4 cup of the Parmesan cheese until melted. Add shredded chicken, and parsley; stir to combine. Turn cooker off and let pasta mixture stand, uncovered to allow sauce to thicken slightly, 10 minutes.\n\n \n\n\n\n\n\n \n Jason Donnelly / Food Styling: Holly Dreesman / Prop Styling: Natalie Ghazali', 'Top with remaining 1/4 cup Parmesan cheese and if desired, top with crushed red pepper, capers, and/or lemon wedges.\n\n \n\n\n\n\n\n \n Jason Donnelly / Food Styling: Holly Dreesman / Prop Styling: Natalie Ghazali']","{'Calories': '960', 'Fat': '65g', 'Carbs': '30g', 'Protein': '60g'}"
Lobster Stuffed Pasta Shells For Two,"For these lobster stuffed pasta shells for two, you’ll be moving lobster from one kind of shell to another to create one of Chef John’s favorite baked pasta dishes. These elegant, delicious, creamy shells will remind you of lobster bisque.",30 mins,45 mins,1 hr 20 mins,2,"['2 cups baby spinach (optional)', '2 small lobster tails, 3 to 4 ounces each', '1/2 cup ricotta cheese', '1/2 cup shredded mozzarella cheese', '1 teaspoon lemon zest', '2 garlic cloves, minced', '1/2 teaspoon kosher salt', 'cayenne pepper to taste', '1/4 teaspoon smoked paprika', 'reserved lobster shells', '1 tablespoon butter', '1 teaspoon tomato paste', '1 cup heavy cream', '1 splash water', '1/4 teaspoon salt', '1 pinch cayenne pepper', '8 large pasta shells', '1/3 cup shredded mozzarella cheese', '1/4 cup freshly grated Parmesan cheese', '1 teaspoon olive oil\xa0(optional)', '1 pinch cayenne pepper\xa0(optional)', '1 pinch chopped fresh parsley\xa0(optional)']","['This step is optional, but greatly improves the flavor and look of the final dish: Wilt spinach in a dry pan over medium-high heat, transfer into a strainer. Let cool, then squeeze out excess water, and chop with a knife. Refrigerate until needed.', 'Cut lengthwise with scissors along the center of each lobster shell on both top and bottom, and remove meat. Set shells aside for sauce. Open up lobster tail meat down the center, slicing open with a knife if necessary, and devein if needed. Rinse briefly under cold water to remove any grit.', 'Chop meat with a knife into small pieces, about 1/4-inch in size. Transfer into a mixing bowl; add chopped spinach, ricotta, mozzarella, lemon zest, garlic, salt, cayenne, and smoked paprika. Mix thoroughly; refrigerate until needed.', 'Cut reserved lobster shells with scissors into 1-inch pieces. Melt butter over medium-high heat in a saucepan, and add lobster shells. Cook, stirring, until lobster shells turn a deep red-orange color and smell like cooked lobster, 1 to 2\xa0minutes.', 'Add tomato paste and cook, stirring, for 30 seconds more. Pour in cream; rinse measuring cup with a small splash of water and add to the saucepan. Season with salt and cayenne. Bring to a boil, adjust temperature to prevent boiling over, and cook until cream reduces and thickens slightly, enough to coat the back of a spoon, about 4 minutes.', 'Pour lobster cream through a fine mesh strainer set over a bowl, allowing all liquid to drain through. Set cream sauce aside until needed; discard shells.', 'Bring a large pot of salted water to a boil. Add shells and cook, stirring occasionally, for 2 minutes less than package directions. Transfer shells into a bowl of cold water to cool immediately, then drain well.', 'Preheat the oven to 375 degrees F (190 degrees C).', 'Use a spoon to generously stuff 8 cooked pasta shells with lobster filling.', 'Spoon about three quarters of lobster cream sauce into a (1-quart) baking dish. A cake pan or deep pie dish can also be used. Arrange stuffed shells in the dish, evenly spaced not more than about 1/2 inch apart.', 'Top each shell with a small amount of mozzarella. Drizzle a few teaspoons of remaining lobster cream sauce over top of each shell. Any extra sauce can be added to the baking dish if desired, or reserved to reheat and serve with cooked shells.', 'Grate a small amount of Parmesan over the top, and drizzle with olive oil if desired.', 'Bake in the preheated oven until bubbly and hot throughout, and golden brown on top, 25 to 30 minutes.', 'Let rest at least 5 minutes before serving.']","{'Calories': '923', 'Fat': '66g', 'Carbs': '33g', 'Protein': '49g'}"
Pistachio Pesto Pasta with Shrimp,"This pistachio pesto pasta with shrimp begins with a basil-pistachio pesto—you are likely familiar with pesto made with pine nuts, but pesto is very flexible, and you can use almost any nut.",15 mins,15 mins,30 mins,4,"['2 tablespoons raw pistachios, without shells', '1 1/2 cups fresh basil leaves', '1/2 cup grated Parmesan cheese', '1/3 cup olive oil', '1 garlic clove, peeled', '1/4 teaspoon salt (optional)', 'freshly-squeezed lemon juice to taste', '14 1/2 ounces fusilli pasta', '1 pound peeled and deveined raw shrimp', '2 tablespoons butter', '1 teaspoon garlic powder', '1/2 teaspoon salt (optional)', '1/4 teaspoon freshly ground black pepper']","['For pesto, place a skillet over medium-high heat, and toast pistachios until fragrant, tossing frequently, about 1 minute. Remove pistachios to a plate to cool completely, about 10 minutes.', 'Combine pistachios, basil, Parmesan cheese, olive oil, and garlic in a blender or food processor and purée until smooth. Season to taste with salt and lemon juice.', 'Bring a large pot of lightly salted water to a boil. Cook fusilli in the boiling water, stirring occasionally, until tender yet firm to the bite, 10 to 12 minutes. Reserve 1 tablespoon pasta water; drain.', 'Gently stir 1/4 cup pesto into pasta with a slotted spoon.', 'Add shrimp, garlic powder, salt, and black pepper to a bowl. Toss to thoroughly coat shrimp in seasonings.', 'Heat a large skillet over medium heat. Add butter; once melted, add shrimp to the skillet in a single even layer. Cook shrimp on one side until seared, 2 to 3 minutes. Flip shrimp and cook until shrimp is seared, pink, and opaque, 2 to 3 minutes more.', 'Add shrimp to pasta. Add reserved pasta water if needed to thin sauce, and serve.']","{'Calories': '529', 'Fat': '31g', 'Carbs': '26g', 'Protein': '34g'}"
Stuffed Mushroom Pasta Bake,This delicious stuffed mushroom pasta bake has all the flavors of stuffed mushrooms yet in a creamy sauce baked in the oven with lots of veggies.,20 mins,1 hr,1 hr 20 mins,12,"['12 ounces dried campanelle or bowtie pasta', '1 pound bulk Italian sausage', '1 pound mixed fresh mushrooms (button, cremini, shiitake, and/or oyster), sliced', '1 large onion, thinly sliced', '3 cloves garlic, minced', '1 tablespoon reduced-sodium soy sauce', '5 tablespoons butter, divided', '1/4 cup all-purpose flour', '1 teaspoon chopped fresh thyme (or 1/2 teaspoon dried thyme)', '1/2 teaspoon salt', '1/2 teaspoon freshly ground black pepper', '1 cup reduced-sodium chicken broth', '2 cups half-and-half', '1 tablespoon Dijon mustard', '1 cup shredded Italian blend cheese', '1 (10 shounce) package frozen chopped spinach, thawed and squeezed dry', '1 cup panko bread crumbs', '2 tablespoons fresh parsley, divided']","['Gather all ingredients.\xa0\n\n \n\n\n\n\n\n \n Jason Donnelly / Food Styling: Holly Dreesman / Prop Styling: Natalie Ghazali', 'Preheat the oven to 375 degrees F (190 degrees C). Grease a 9x13-inch baking dish.', 'Cook pasta in a large pot of boiling salted water 2 minutes less than the suggested time on the package directions. Drain, reserving 1 cup pasta cooking water. Return pasta to pot and keep warm.\n\n \n\n\n\n\n\n \n Jason Donnelly / Food Styling: Holly Dreesman / Prop Styling: Natalie Ghazali', 'Meanwhile, cook sausage in a 12-inch skillet over medium heat until browned, about 8 minutes. Transfer to paper towels to drain using a slotted spoon.\n\n \n\n\n\n\n\n \n Jason Donnelly / Food Styling: Holly Dreesman / Prop Styling: Natalie Ghazali', 'Add mushrooms, onion, and garlic to the skillet. Cook until liquid is released and has evaporated, and vegetables are tender, about 8 minutes.\n\n \n\n\n\n\n\n \n Jason Donnelly / Food Styling: Holly Dreesman / Prop Styling: Natalie Ghazali', 'Pour in soy sauce to the skillet. Cook and stir until soy sauce is absorbed by mushrooms, about 1 minute.\n\n \n\n\n\n\n\n \n Jason Donnelly / Food Styling: Holly Dreesman / Prop Styling: Natalie Ghazali', 'Transfer mushroom mixture to pot with the pasta.\n\n \n\n\n\n\n\n \n Jason Donnelly / Food Styling: Holly Dreesman / Prop Styling: Natalie Ghazali', 'Add 4 tablespoons butter to the skillet. When melted, whisk in flour, thyme, salt, and pepper. Cook and stir for 1 minute.\n\n \n\n\n\n\n\n \n Jason Donnelly / Food Styling: Holly Dreesman / Prop Styling: Natalie Ghazali', 'Add broth, half-and-half, and Dijon mustard to the skillet. Cook and stir until thickened and bubbly. Whisk in cheese and spinach until cheese is melted.\xa0\n\n \n\n\n\n\n\n \n Jason Donnelly / Food Styling: Holly Dreesman / Prop Styling: Natalie Ghazali', 'Add sauce and sausage to the pot with the pasta mixture, stir to combine. Thin sauce to desired consistency with reserved pasta water. Transfer to the prepared baking dish.\n\n \n\n\n\n\n\n \n Jason Donnelly / Food Styling: Holly Dreesman / Prop Styling: Natalie Ghazali', 'Melt remaining 1 tablespoon butter. Stir in panko and 1 tablespoon parsley. Sprinkle panko mixture over the pasta mixture.\n\n \n\n\n\n\n\n \n Jason Donnelly / Food Styling: Holly Dreesman / Prop Styling: Natalie Ghazali', 'Bake in the preheated oven until browned and bubbly, about 30 minutes.\n\n \n\n\n\n\n\n \n Jason Donnelly / Food Styling: Holly Dreesman / Prop Styling: Natalie Ghazali', 'Garnish with remaining 1 tablespoon parsley.\n\n \n\n\n\n\n\n \n Jason Donnelly / Food Styling: Holly Dreesman / Prop Styling: Natalie Ghazali']","{'Calories': '368', 'Fat': '23g', 'Carbs': '25g', 'Protein': '16g'}"
Restaurant-Style Chicken Scampi,"Coated chicken tenders tossed with hot cooked pasta, bell pepper, onion, and garlic in four cheese Alfredo sauce. This is a delicious, rich chicken scampi very similar to that served at a well known Italian restaurant chain. Perfect with a green salad with Italian-style salad dressing and breadsticks!",10 mins,20 mins,30 mins,6,"['1 pound raw chicken tenders or strips', '¼ cup all-purpose flour', '2 teaspoons olive oil', '1 (16 ounce) package spaghetti', '1 teaspoon olive oil', '1  green bell pepper, cut into 1/2 inch wide strips', '1  red bell pepper, cut into 1/2 inch wide strips', '1  yellow bell peppers, cut into 1/2 inch wide strips', '1  onion, chopped', '2 tablespoons chopped garlic', '1 ½ cups four cheese Alfredo sauce', '½ cup chopped fresh parsley']","['Place chicken and flour in a large resealable plastic bag; seal bag and shake to coat. Heat 2 teaspoons olive oil in a large skillet over medium heat. Shake excess flour off chicken; cook and stir in hot oil for 4 to 5 minutes each side, or until golden brown and cooked through (juices run clear). Remove from skillet and place in a medium bowl; set aside.', 'Bring a large pot of lightly salted water to a boil. Add spaghetti and cook for 8 to 10 minutes or until al dente; drain, reserving 2/3 cup cooking water, and return pasta to pot. Set aside pasta and cooking water.', 'Wipe skillet with paper towel. Heat 1 teaspoon oil in skillet over medium heat. Add green bell pepper, red bell pepper, yellow bell pepper, onion, and garlic and cook and stir for 3 minutes. Cover, reduce heat to low and cook 3 minutes more or until vegetables are tender.', 'Stir in Alfredo sauce, cover and heat for 1 to 2 minutes. Remove from heat and add to reserved pasta in pot, then add reserved cooking water and chicken. Toss to mix, pour into serving bowls and sprinkle with fresh chopped parsley.\n\n \n\n\n\n\n\n \n fabeveryday']","{'Calories': '548', 'Fat': '13g', 'Carbs': '74g', 'Protein': '31g'}"
Cowboy Lasagna,"This meaty cowboy lasagna, inspired by Trisha Yearwood's recipe, can serve a crowd of cowboys. Pasta sheets are layered with cheese, ground beef, pepperoni, and sausage. Jalapenos bring the heat.",30 mins,1 hr 10 mins,1 hr 40 mins,12,"['1 tablespoon olive oil', '1 pound ground sirloin', '1 pound sage-flavored pork sausage', '2 jalapeno peppers, seeded and chopped', '1 onion, finely chopped', '3 cloves garlic, minced', '8 ounces pepperoni, roughly chopped', '1 (15 ounce) can fire roasted diced tomatoes', '1 (12-ounce) can tomato paste', '1 teaspoon dried oregano', '2 cups water', 'salt and freshly ground black pepper to taste', '1 pound lasagna noodles', 'cooking spray', '16 ounces ricotta cheese', '16 ounces mozzarella cheese, shredded', '2/3 cup grated Parmesan cheese']","['Heat oil in a large deep skillet over medium-high heat. Add ground beef and sausage and cook, crumbling with a wooden spoon until browned, 5 to 7 minutes. Add jalapeno, onion, and garlic and cook, stirring often, until vegetables are softened, about 3 minutes. Add in pepperoni, tomatoes, tomato paste, oregano, and water and stir until well combined. Season to taste with salt and pepper. Bring to a simmer, reduce heat and cook, uncovered, stirring occasionally while pasta is prepared.', 'Preheat the oven to 350 degrees F (180 degrees C).', 'Bring a large pot of lightly salted water to a boil. Cook lasagna noodles in the boiling water, stirring occasionally, until tender yet firm to the bite, about 8 minutes. Drain.', 'Coat a 9x13-inch baking dish with cooking spray. Spread a thin layer of sauce over the bottom of the prepared dish. Top with a layer of lasagna noodles, 1/2 of ricotta, and 1/3 of mozzarella cheese. Sprinkle with 1/3 of grated Parmesan cheese and 1/3 of sauce mixture. Repeat that layer once more. Top with remaining sauce, mozzarella cheese, and Parmesan.', 'Bake in the preheated oven until browned around the edges and bubbly, about 40 minutes.\n\n \n\n\n\n\n\n \n Peyton Beckwith']","{'Calories': '592', 'Fat': '39g', 'Carbs': '24g', 'Protein': '37g'}"
20 Vintage Pasta Recipes You’ll Want to Make Again and Again,These crowd-pleasing pastas will never get old.,,,,,[],[],
Italian Wedding Pasta Bake,"This Italian wedding pasta bake really captures the flavors of Italian wedding soup. It's lightly cheesy, veggie- and meatball-forward, fragrant with fresh herbs, and baked under a crisp Parmesan and panko breadcrumb topping.",15 mins,45 mins,1 hr 10 mins,8,"['cooking spray', '12 ounces dried farfalle pasta', '4 tablespoons butter, divided', '2 tablespoons olive oil', '1 onion, chopped', '2 stalks celery, chopped', '2 carrots, chopped', '3 cloves garlic, minced', '1/3 cup all-purpose flour', '1 (32 ounce) carton reduced-sodium chicken broth', '3/4 cup grated Parmesan cheese, divided', '5 cups chopped kale or baby spinach', '1 (26-ounce) package frozen Italian meatballs, thawed', '3 tablespoons chopped fresh oregano, divided', '1/2 teaspoon freshly ground black pepper', '1/4 teaspoon salt', '1 cup panko breadcrumbs', '2 tablespoons chopped fresh parsley']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Preheat the oven to 375 degrees F (190 degrees C). Lightly coat a 3-quart rectangular baking dish with nonstick cooking spray.', 'Bring a large pot of water to a boil. Add pasta and cook until almost tender, about 10 minutes; drain and transfer to a bowl.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Heat 2 tablespoons butter and olive oil in the same pot over medium heat. Add onion, celery, and carrots. Cook, covered, until carrots are nearly tender, stirring occasionally, about 7 minutes.\xa0\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Add garlic and cook for 1 more minute.\xa0\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Sprinkle flour over the vegetable mixture; cook and stir for 1 minute.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'While stirring, slowly pour in broth. Bring mixture to a boil, stirring constantly. Continue to cook and stir until mixture is slightly thickened, 1 minute more.\xa0\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Stir in 1/2 cup Parmesan cheese.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Add kale; cook and stir until kale is wilted, 1 minute.\xa0\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Add cooked pasta, meatballs, 2 tablespoons oregano, pepper, and salt to the pot; stir to combine. Transfer mixture to prepared baking dish.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'To make the topping: Melt remaining 2 tablespoons butter in a bowl. Add panko and stir to combine. Stir in remaining 1/4 cup Parmesan cheese. Sprinkle topping over the casserole.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Bake in the preheated oven until golden and heated through, about 20 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Let stand for 10 minutes before serving. Top with remaining 1 tablespoon oregano and the parsley.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '570', 'Fat': '34g', 'Carbs': '44g', 'Protein': '24g'}"
Sheet Pan Chicken Alfredo Lasagna,Use a sheet pan to create this easy chicken Alfredo lasagna with store-bought Alfredo sauce and shredded chicken.,15 mins,35 mins,50 mins,8,"['1 pound lasagna noodles', '2 tablespoons olive oil, divided', '3/4 cup finely chopped onion', '5 ounces fresh spinach, chopped', '22 ounces Alfredo sauce (such as Prego Homestyle Alfredo)', '3 cups cooked, shredded chicken', '2 cups shredded mozzarella cheese, divided', '1/4 cup torn fresh basil leaves (optional)', '1/2 cup ricotta cheese', '1/2 cup freshly grated Parmesan cheese', '2 tablespoons chopped fresh parsley']","['Bring a large pot of salted water to a boil.\xa0Break lasagna noodles into 4 to 5 pieces and drop into the boiling water.\xa0Cook for 8 minutes, stirring occasionally, until just al dente.\xa0Drain and set aside.', 'Meanwhile, heat 1 tablespoon olive oil in a large deep skillet over medium-high heat.\xa0Add onion and cook until soft, stirring constantly, about 3 minutes.\xa0Add spinach and cook, stirring constantly until wilted and liquid has evaporated.\xa0Stir in alfredo sauce and cook for 1 minute.\xa0Stir in chicken, 2/3 cup mozzarella and basil, if using.\xa0Remove from heat and stir in cooked pasta.', 'Preheat the oven to 375 degrees C (190 degrees C).', 'Drizzle remaining olive oil evenly over a 18 x 13-inch rimmed baking sheet (half sheet pan).\xa0Pour lasagna mixture into the pan and spread it evenly to the edges.\xa0Dollop ricotta randomly over the pasta and sprinkle with remaining mozzarella and Parmesan cheese.', 'Bake in the preheated oven until lightly browned and bubbly, about 25 minutes.\xa0Sprinkle with parsley and serve.']","{'Calories': '700', 'Fat': '50g', 'Carbs': '29g', 'Protein': '35g'}"
Honey Mustard Spaghetti,"Sweet-salty, rich honey mustard spaghetti simmers pasta and chicken in a honey mustard cream. The dish is finished with crisp bacon and a sprinkling of green onion.",20 mins,25 mins,45 mins,4 to 6,"['3 tablespoons whole grain Dijon mustard', '2 tablespoons honey', '12 ounces spaghetti', '6 slices bacon', '1 pound skinless boneless chicken breast, cubed', '1 bunch green onions, thinly sliced, dark and light green parts separated, divided', '1 1/2 cups heavy cream', '1 teaspoon kosher salt', '1/2 teaspoon freshly ground black pepper']","['Stir together mustard and honey in a small bowl and set aside. Meanwhile, bring a large pot of salted water to a boil. Cook pasta until tender with a bite, about 9 minutes, or according to package instructions. Reserve 1/2 cup pasta water, drain, and set aside.', 'While pasta cooks, heat a large deep skillet over medium heat. Add bacon and cook until crisp, about 5 minutes. Remove bacon from skillet to a paper towel-lined plate and reserve drippings in the skillet.', 'Add chicken to the hot skillet; cook until browned on all sides (chicken will not be fully cooked through at this point). Remove chicken from skillet and keep warm. Add light green parts of the onions to skillet and cook until tender, 1 to 2 minutes. Stir in honey mustard and heavy cream.', 'Return chicken to skillet and add salt and pepper. Bring to a simmer and cook, stirring occasionally, until slightly thickened and chicken is no longer pink at the center. Add pasta and reserved pasta water to skillet and cook until heated through. Crumble reserved bacon over the top, and sprinkle with green onions to serve.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '740', 'Fat': '43g', 'Carbs': '38g', 'Protein': '49g'}"
Creamy Chicken Piccata Pasta Bake,"This creamy chicken piccata pasta bake is bright with lemon and capers, creamy and cheesy with Alfredo pasta sauce, ricotta, and Parmesan, and it can be made ahead for easy entertaining.",15 mins,50 mins,1 hr 5 mins,8,"['1 pound penne pasta', '1 lemon', '1 tablespoon butter', '1 shallot, chopped', '2 cloves garlic, minced', '2 (15-ounce) jars Alfredo sauce', '1 cup ricotta cheese', '3/4 cup reduced-sodium chicken broth', '1 (3-ounce) jar capers, drained', '1/4 teaspoon freshly ground black pepper', '3 1/2 cups chopped cooked chicken', '1 cup grated Parmesan cheese', '1 tablespoon chopped fresh Italian parsley, or as needed']","['Gather all ingredients.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Preheat the oven to 350 degrees F (180 degrees C). Grease a 9x13-inch baking dish.\xa0\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Bring a large pot of lightly salted water to a boil. Add penne and cook, stirring occasionally, until tender yet firm to the bite, about 11 minutes; drain.', 'Zest and juice the lemon to yield 1 teaspoon zest and 3 tablespoons juice.\xa0\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Melt butter in a large skillet over medium heat. Add shallot and garlic. Cook and stir until tender, 2 to 3 minutes.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Whisk together cooked shallot and garlic, lemon juice, Alfredo sauce, ricotta cheese, broth, capers, and pepper in a large bowl. Add penne and chicken; toss to combine.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Spread in the prepared dish.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Toss together Parmesan cheese and lemon zest in a small bowl. Spread over the pasta mixture.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios', 'Bake in the preheated oven until hot and bubbly, 35 to 40 minutes. Garnish with parsley.\n\n \n\n\n\n\n\n \n Dotdash Meredith Food Studios']","{'Calories': '861', 'Fat': '63g', 'Carbs': '42g', 'Protein': '38g'}"
Mongolian Ground Beef Noodles,"These Mongolian ground beef noodles have all the flavors you love in Mongolian beef, but in a simplified, more affordable version. Fragrant with ginger and garlic, in a balanced savory-sweet-salty soy and hoisin sauce, this dish can be on the table in a smidge over half an hour.",10 mins,25 mins,35 mins,4,"['8 ounces spaghetti', '1 pound ground beef', '4 cloves garlic, minced', '1 teaspoon pureed ginger', '2 tablespoons light brown sugar', '1/4 cup low-sodium soy sauce', '3 tablespoons hoisin sauce', '3/4 cup beef broth', '1 teaspoon rice wine vinegar', '1/4 teaspoon crushed red chili flakes', '1 tablespoon cornstarch', '2 tablespoons cold water', '1 green onion, chopped', '1 teaspoon toasted sesame seeds']","['Bring a large pot of lightly salted water to a boil. Cook spaghetti in the boiling water, stirring occasionally, until tender yet firm to the bite, about 12 minutes.. Drain and run under cold water to stop cooking. Set aside.', 'Meanwhile, crumble ground beef in a large skillet over medium-high heat. Cook for 4 minutes. Add garlic and cook 1 minute more. Drain any excess grease.', 'Return beef to skillet. Add ginger, brown sugar, soy sauce, hoisin, broth, vinegar, and pepper flakes.', 'Add cornstarch and cold water to a small jar with a lid. Cover and shake until combined and mixture is a thick slurry. Pour over beef mixture.', 'Cook over medium-high heat until thickened, about 3 minutes. Stir in reserved spaghetti and cook 2 minutes more. Turn heat off and let sit for 1 minute.', 'Sprinkle each serving with green onion and sesame seeds.']","{'Calories': '471', 'Fat': '21g', 'Carbs': '32g', 'Protein': '36g'}"
